home_team,away_team,home_goals,away_goals,home_xG,away_xG
Manchester Utd,Fulham,1,0,2.4,0.4
Ipswich Town,Liverpool,0,2,0.5,2.6
Newcastle Utd,Southampton,1,0,0.3,1.8
Everton,Brighton,0,3,0.5,1.4
Nott'ham Forest,Bournemouth,1,1,1.3,1.2
Arsenal,Wolves,2,0,1.2,0.5
West Ham,Aston Villa,1,2,2.3,2.0
Brentford,Crystal Palace,2,1,1.6,1.2
Chelsea,Manchester City,0,2,1.0,0.8
Leicester City,Tottenham,1,1,1.0,1.2
Brighton,Manchester Utd,2,1,2.1,1.4
Manchester City,Ipswich Town,4,1,3.3,0.3
Southampton,Nott'ham Forest,0,1,0.1,2.2
Tottenham,Everton,4,0,2.4,1.0
Fulham,Leicester City,2,1,1.8,0.6
Crystal Palace,West Ham,0,2,1.3,1.4
Aston Villa,Arsenal,0,2,1.2,0.9
Wolves,Chelsea,2,6,1.9,1.6
Bournemouth,Newcastle Utd,1,1,2.2,1.6
Liverpool,Brentford,2,0,2.5,0.5
Arsenal,Brighton,1,1,2.1,1.7
Ipswich Town,Fulham,1,1,0.4,0.9
Nott'ham Forest,Wolves,1,1,1.0,0.7
Brentford,Southampton,3,1,2.8,1.5
Leicester City,Aston Villa,1,2,0.4,1.4
Everton,Bournemouth,2,3,1.8,2.4
West Ham,Manchester City,1,3,0.7,3.0
Newcastle Utd,Tottenham,2,1,1.8,1.2
Chelsea,Crystal Palace,1,1,2.4,0.5
Manchester Utd,Liverpool,0,3,1.4,1.8
Southampton,Manchester Utd,0,3,1.1,2.6
Manchester City,Brentford,2,1,2.1,1.0
Liverpool,Nott'ham Forest,0,1,0.9,0.4
Crystal Palace,Leicester City,2,2,2.5,1.2
Fulham,West Ham,1,1,1.5,0.8
Brighton,Ipswich Town,0,0,1.6,0.3
Aston Villa,Everton,3,2,2.1,0.9
Bournemouth,Chelsea,0,1,1.7,0.8
Tottenham,Arsenal,0,1,0.7,0.7
Wolves,Newcastle Utd,1,2,1.2,1.5
West Ham,Chelsea,0,3,0.9,2.2
Tottenham,Brentford,3,1,3.5,0.8
Aston Villa,Wolves,3,1,1.7,0.5
Fulham,Newcastle Utd,3,1,2.2,1.5
Southampton,Ipswich Town,1,1,2.4,1.6
Leicester City,Everton,1,1,0.7,1.1
Liverpool,Bournemouth,3,0,2.0,1.1
Crystal Palace,Manchester Utd,0,0,1.0,1.6
Brighton,Nott'ham Forest,2,2,1.0,1.4
Manchester City,Arsenal,2,2,2.1,0.7
Newcastle Utd,Manchester City,1,1,1.6,0.9
Brentford,West Ham,1,1,0.4,1.0
Everton,Crystal Palace,2,1,0.9,0.9
