home_team,away_team,home_goals,away_goals,home_xG,away_xG,home_xGA,away_xGA
Manchester Utd,Fulham,1,0,2.4,0.4,0.4,2.4
Ipswich Town,Liverpool,0,2,0.5,2.6,2.6,0.5
Newcastle Utd,Southampton,1,0,0.3,1.8,1.8,0.3
Everton,Brighton,0,3,0.5,1.4,1.4,0.5
Nott'ham Forest,Bournemouth,1,1,1.3,1.2,1.2,1.3
Arsenal,Wolves,2,0,1.2,0.5,0.5,1.2
West Ham,Aston Villa,1,2,2.3,2.0,2.0,2.3
Brentford,Crystal Palace,2,1,1.6,1.2,1.2,1.6
Chelsea,Manchester City,0,2,1.0,0.8,0.8,1.0
Leicester City,Tottenham,1,1,1.0,1.2,1.2,1.0
Brighton,Manchester Utd,2,1,2.1,1.4,1.4,2.1
Manchester City,Ipswich Town,4,1,3.3,0.3,0.3,3.3
Southampton,Nott'ham Forest,0,1,0.1,2.2,2.2,0.1
Tottenham,Everton,4,0,2.4,1.0,1.0,2.4
Fulham,Leicester City,2,1,1.8,0.6,0.6,1.8
Crystal Palace,West Ham,0,2,1.3,1.4,1.4,1.3
Aston Villa,Arsenal,0,2,1.2,0.9,0.9,1.2
Wolves,Chelsea,2,6,1.9,1.6,1.6,1.9
Bournemouth,Newcastle Utd,1,1,2.2,1.6,1.6,2.2
Liverpool,Brentford,2,0,2.5,0.5,0.5,2.5
Arsenal,Brighton,1,1,2.1,1.7,1.7,2.1
Ipswich Town,Fulham,1,1,0.4,0.9,0.9,0.4
Nott'ham Forest,Wolves,1,1,1.0,0.7,0.7,1.0
Brentford,Southampton,3,1,2.8,1.5,1.5,2.8
Leicester City,Aston Villa,1,2,0.4,1.4,1.4,0.4
Everton,Bournemouth,2,3,1.8,2.4,2.4,1.8
West Ham,Manchester City,1,3,0.7,3.0,3.0,0.7
Newcastle Utd,Tottenham,2,1,1.8,1.2,1.2,1.8
Chelsea,Crystal Palace,1,1,2.4,0.5,0.5,2.4
Manchester Utd,Liverpool,0,3,1.4,1.8,1.8,1.4
Southampton,Manchester Utd,0,3,1.1,2.6,2.6,1.1
Manchester City,Brentford,2,1,2.1,1.0,1.0,2.1
Liverpool,Nott'ham Forest,0,1,0.9,0.4,0.4,0.9
Crystal Palace,Leicester City,2,2,2.5,1.2,1.2,2.5
Fulham,West Ham,1,1,1.5,0.8,0.8,1.5
Brighton,Ipswich Town,0,0,1.6,0.3,0.3,1.6
Aston Villa,Everton,3,2,2.1,0.9,0.9,2.1
Bournemouth,Chelsea,0,1,1.7,0.8,0.8,1.7
Tottenham,Arsenal,0,1,0.7,0.7,0.7,0.7
Wolves,Newcastle Utd,1,2,1.2,1.5,1.5,1.2
West Ham,Chelsea,0,3,0.9,2.2,2.2,0.9
Tottenham,Brentford,3,1,3.5,0.8,0.8,3.5
Aston Villa,Wolves,3,1,1.7,0.5,0.5,1.7
Fulham,Newcastle Utd,3,1,2.2,1.5,1.5,2.2
Southampton,Ipswich Town,1,1,2.4,1.6,1.6,2.4
Leicester City,Everton,1,1,0.7,1.1,1.1,0.7
Liverpool,Bournemouth,3,0,2.0,1.1,1.1,2.0
Crystal Palace,Manchester Utd,0,0,1.0,1.6,1.6,1.0
Brighton,Nott'ham Forest,2,2,1.0,1.4,1.4,1.0
Manchester City,Arsenal,2,2,2.1,0.7,0.7,2.1
Newcastle Utd,Manchester City,1,1,1.6,0.9,0.9,1.6
Brentford,West Ham,1,1,0.4,1.0,1.0,0.4
Everton,Crystal Palace,2,1,0.9,0.9,0.9,0.9
Arsenal,Leicester City,4,2,4.4,0.3,0.3,4.4
Chelsea,Brighton,4,2,4.2,1.1,1.1,4.2
Nott'ham Forest,Fulham,0,1,0.8,1.3,1.3,0.8
Wolves,Liverpool,1,2,0.6,2.5,2.5,0.6
Ipswich Town,Aston Villa,2,2,1.2,0.8,0.8,1.2
Manchester Utd,Tottenham,0,3,1.0,4.4,4.4,1.0
Bournemouth,Southampton,3,1,1.3,0.6,0.6,1.3
Crystal Palace,Liverpool,0,1,0.6,1.4,1.4,0.6
Brentford,Wolves,5,3,4.2,1.0,1.0,4.2
Leicester City,Bournemouth,1,0,0.8,2.1,2.1,0.8
Manchester City,Fulham,3,2,1.6,2.6,2.6,1.6
West Ham,Ipswich Town,4,1,3.6,0.6,0.6,3.6
Arsenal,Southampton,3,1,2.8,0.6,0.6,2.8
Everton,Newcastle Utd,0,0,0.7,2.1,2.1,0.7
Aston Villa,Manchester Utd,0,0,0.5,0.6,0.6,0.5
Chelsea,Nott'ham Forest,1,1,2.3,0.9,0.9,2.3
Brighton,Tottenham,3,2,1.8,1.3,1.3,1.8
Tottenham,West Ham,4,1,1.9,0.8,0.8,1.9
Fulham,Aston Villa,1,3,1.8,1.6,1.6,1.8
Ipswich Town,Everton,0,2,1.3,1.7,1.7,1.3
Southampton,Leicester City,2,3,2.1,3.1,3.1,2.1
Manchester Utd,Brentford,2,1,1.3,0.9,0.9,1.3
Newcastle Utd,Brighton,0,1,2.0,1.1,1.1,2.0
Bournemouth,Arsenal,2,0,1.8,0.7,0.7,1.8
Wolves,Manchester City,1,2,0.8,1.6,1.6,0.8
Liverpool,Chelsea,2,1,1.9,1.0,1.0,1.9
